Epoch,Train Loss,Validation Loss
1,2.478851,2.353775
2,2.271701,2.331494
3,2.196201,2.316564
4,2.180901,2.299941
5,2.116804,2.296383
6,1.251100,1.499900
7,1.287100,1.471500
8,1.181600,1.360000
9,1.052000,1.221600
10,0.870700,1.029700
11,0.756200,0.965400
12,0.673600,0.898100
13,0.629500,0.847500
14,0.585700,0.832000
15,0.555100,0.825700
16,0.538800,0.825700
17,0.531700,0.815100
18,0.519800,0.799500
19,0.541000,0.801900
20,0.495600,0.769600
21,0.446100,0.732400
22,0.435100,0.750400
23,0.410400,0.719900
24,0.394900,0.721800
25,0.364800,0.705800
