Epoch,Train Loss,Val Loss,Val Valence RMSE,Val Arousal RMSE,Val Overall RMSE,Val Valence MAE,Val Arousal MAE,Val Valence R2,Val Arousal R2
1,1.1482,1.2163,0.2982,0.1975,0.2529,0.2295,0.1666,-0.6754,-1.3197
2,1.2663,1.1292,0.2291,0.2024,0.2161,0.1882,0.1677,0.0112,-1.4347
3,1.1953,1.1221,0.2745,0.1309,0.215,0.2313,0.1065,-0.4196,-0.0183
4,1.1769,1.0743,0.2436,0.1364,0.1974,0.2085,0.1095,-0.1182,-0.1064
5,1.139,1.0277,0.2235,0.1302,0.1829,0.1888,0.106,0.059,-0.0079
6,1.0961,1.0353,0.235,0.1303,0.19,0.1913,0.1062,-0.0407,-0.0099
7,1.1085,1.022,0.2296,0.1362,0.1887,0.1894,0.1095,0.0071,-0.103
8,1.082,1.0084,0.2251,0.1398,0.1874,0.1898,0.1127,0.0452,-0.1619
9,1.0446,0.9882,0.2266,0.1328,0.1857,0.1906,0.1074,0.0321,-0.0485
10,0.9992,0.9786,0.2264,0.1377,0.1874,0.194,0.1109,0.0339,-0.1271
11,0.9469,0.9917,0.2367,0.1498,0.1981,0.2015,0.119,-0.056,-0.3332
12,0.9183,1.0536,0.2415,0.1835,0.2145,0.1997,0.1506,-0.0991,-1.0026
13,0.9337,1.0236,0.2465,0.1761,0.2142,0.2044,0.1438,-0.1447,-0.8425
14,0.8832,1.0443,0.2574,0.195,0.2283,0.2142,0.1562,-0.2486,-1.2604
15,0.9011,0.9791,0.2442,0.1684,0.2097,0.1991,0.1356,-0.1236,-0.6856
16,0.8123,0.9144,0.2315,0.156,0.1974,0.1941,0.1239,-0.01,-0.4473
17,0.7723,0.9847,0.2459,0.1664,0.2099,0.1963,0.1327,-0.139,-0.6457
18,0.8011,0.8688,0.2199,0.1404,0.1845,0.1837,0.1093,0.0887,-0.172
19,0.7226,1.0506,0.2674,0.191,0.2323,0.2183,0.1628,-0.3471,-1.1676
20,0.9494,1.0784,0.2761,0.1968,0.2397,0.2244,0.1684,-0.436,-1.3016
21,0.9874,0.8356,0.2135,0.1369,0.1793,0.1801,0.1111,0.1414,-0.1149
22,0.7382,1.0578,0.268,0.1743,0.226,0.2108,0.1413,-0.3529,-0.807
23,0.9192,1.1591,0.2979,0.1944,0.2515,0.233,0.1608,-0.6719,-1.2459
24,1.0441,1.0734,0.2734,0.1743,0.2292,0.2147,0.1413,-0.4082,-0.8056
25,0.9316,0.8404,0.2113,0.1315,0.176,0.1765,0.1042,0.1589,-0.0278
26,0.694,1.0464,0.2691,0.1792,0.2286,0.2185,0.1523,-0.3649,-0.9096
27,0.9403,1.208,0.3159,0.2193,0.2719,0.2595,0.1901,-0.8799,-1.8595
28,1.1279,1.1618,0.298,0.2112,0.2583,0.2431,0.1827,-0.6734,-1.6512
29,1.0559,0.9518,0.2336,0.1653,0.2024,0.1936,0.1391,-0.0284,-0.6247
30,0.8092,0.8753,0.2271,0.1309,0.1853,0.1842,0.1038,0.0285,-0.0185
31,0.6732,0.9778,0.2574,0.1448,0.2088,0.2024,0.1142,-0.2487,-0.2457
32,0.7773,0.9469,0.2477,0.1421,0.2019,0.1957,0.1119,-0.1563,-0.1998
33,0.7188,0.8454,0.217,0.1322,0.1797,0.1808,0.106,0.1125,-0.0388
34,0.6353,0.8763,0.2272,0.1429,0.1898,0.189,0.1186,0.0273,-0.2142
35,0.6804,0.8598,0.2285,0.1411,0.1899,0.1893,0.1155,0.0164,-0.1837
36,0.6458,0.9068,0.2389,0.1525,0.2004,0.1928,0.1182,-0.0757,-0.3823
37,0.6418,0.9241,0.2446,0.1579,0.2059,0.197,0.1228,-0.1278,-0.4826
38,0.6439,0.8585,0.2349,0.148,0.1963,0.1907,0.1176,-0.0395,-0.3014
39,0.6131,0.8541,0.233,0.1475,0.195,0.1892,0.1186,-0.0231,-0.2928
40,0.6009,0.8951,0.2421,0.1488,0.2009,0.1955,0.1152,-0.1043,-0.3161
41,0.604,0.8629,0.2331,0.142,0.193,0.1896,0.1116,-0.0241,-0.1988
42,0.5899,0.8625,0.2278,0.1468,0.1916,0.1864,0.1217,0.0219,-0.2806
43,0.6267,0.8681,0.229,0.1447,0.1915,0.1871,0.1193,0.012,-0.244
44,0.6313,0.8219,0.2173,0.1333,0.1803,0.1787,0.1064,0.1101,-0.0558
45,0.5484,0.9015,0.2403,0.1432,0.1978,0.1939,0.1119,-0.0884,-0.2183
46,0.6076,0.8852,0.239,0.1401,0.1959,0.193,0.1096,-0.0767,-0.1665
47,0.5854,0.8179,0.218,0.1386,0.1827,0.1773,0.1126,0.1047,-0.1422
48,0.5379,0.8153,0.2218,0.1379,0.1847,0.1776,0.1111,0.0728,-0.1306
49,0.5302,0.8544,0.2338,0.1442,0.1942,0.1884,0.1133,-0.0299,-0.2367
50,0.5311,0.85,0.2388,0.1428,0.1967,0.1918,0.1136,-0.0747,-0.212
51,0.5108,0.8456,0.2318,0.1552,0.1973,0.1823,0.127,-0.0125,-0.4318
52,0.5453,0.8415,0.2354,0.1491,0.197,0.1854,0.1207,-0.0443,-0.321
53,0.523,0.8412,0.2371,0.1418,0.1953,0.1863,0.1126,-0.0592,-0.1956
54,0.4869,0.8732,0.251,0.1383,0.2026,0.2003,0.1114,-0.187,-0.1373
55,0.5067,0.8192,0.2312,0.1342,0.189,0.1826,0.1077,-0.007,-0.0707
56,0.4731,0.8231,0.231,0.134,0.1889,0.1836,0.1076,-0.0058,-0.0679
57,0.4534,0.8376,0.2361,0.1349,0.1923,0.1877,0.1071,-0.0503,-0.0818
58,0.4555,0.8356,0.2321,0.1422,0.1925,0.1851,0.115,-0.015,-0.2022
59,0.4542,0.8352,0.2402,0.1355,0.195,0.1903,0.1077,-0.0868,-0.0921
60,0.4377,0.8738,0.2504,0.1399,0.2029,0.2001,0.1128,-0.1819,-0.164
61,0.4666,0.8386,0.2375,0.1409,0.1952,0.1896,0.1132,-0.0627,-0.1796
62,0.4208,0.9134,0.2702,0.1411,0.2156,0.2156,0.1125,-0.376,-0.1839
63,0.5102,0.8907,0.2634,0.1378,0.2102,0.21,0.1096,-0.3073,-0.1287
64,0.4848,0.8286,0.2334,0.1377,0.1916,0.1877,0.111,-0.0264,-0.1265
65,0.4127,0.8632,0.2453,0.1367,0.1986,0.1971,0.1099,-0.1337,-0.1115
66,0.445,0.8216,0.2293,0.1387,0.1895,0.1854,0.1119,0.0091,-0.1442
67,0.4085,0.8457,0.2384,0.1402,0.1955,0.1886,0.1103,-0.0706,-0.1678
68,0.4197,0.837,0.2398,0.1372,0.1954,0.1891,0.1083,-0.0837,-0.1187
69,0.4045,0.8237,0.2303,0.1419,0.1913,0.1853,0.1142,0.0006,-0.1976
70,0.3999,0.8571,0.2466,0.1375,0.1997,0.1983,0.1101,-0.1463,-0.1246
71,0.4205,0.8207,0.2368,0.1375,0.1936,0.1883,0.1101,-0.0564,-0.1244
72,0.3846,0.8553,0.2562,0.1361,0.2051,0.1995,0.1089,-0.2364,-0.1013
73,0.3991,0.8403,0.2483,0.1364,0.2003,0.1918,0.1091,-0.1622,-0.1054
74,0.3846,0.8335,0.2345,0.1408,0.1934,0.1882,0.1137,-0.0365,-0.1784
75,0.377,0.8581,0.2456,0.136,0.1985,0.1971,0.1099,-0.1363,-0.0988
76,0.3927,0.8121,0.2325,0.1353,0.1902,0.1854,0.1094,-0.0183,-0.0876
77,0.3542,0.8775,0.2451,0.1507,0.2035,0.1924,0.1195,-0.1325,-0.3507
78,0.4139,0.869,0.253,0.1449,0.2061,0.1966,0.1152,-0.2059,-0.2477
79,0.4162,0.8253,0.2484,0.1326,0.1991,0.1964,0.1073,-0.1625,-0.0447
80,0.3752,0.8539,0.2458,0.138,0.1993,0.1975,0.111,-0.1385,-0.132
81,0.3718,0.8332,0.2303,0.1433,0.1918,0.1858,0.1156,0.0009,-0.2205
82,0.3873,0.8156,0.2275,0.1406,0.1891,0.183,0.1134,0.0244,-0.1757
83,0.3651,0.8405,0.2399,0.1405,0.1966,0.1905,0.1123,-0.0843,-0.173
84,0.3642,0.84,0.2537,0.1319,0.2022,0.1981,0.1064,-0.2125,-0.0337
85,0.3717,0.8269,0.2493,0.1302,0.1989,0.1949,0.1054,-0.1713,-0.0081
86,0.3563,0.8424,0.243,0.1362,0.197,0.1946,0.1094,-0.113,-0.1029
87,0.3566,0.8258,0.2302,0.1407,0.1908,0.1854,0.1129,0.0017,-0.1771
88,0.3609,0.8269,0.2312,0.1412,0.1916,0.1863,0.113,-0.0077,-0.186
89,0.3609,0.8539,0.2487,0.1371,0.2008,0.2002,0.1111,-0.1653,-0.1175
90,0.3486,0.8142,0.2481,0.1295,0.1979,0.1938,0.105,-0.1596,0.0035
91,0.3304,0.8188,0.2423,0.1318,0.195,0.1881,0.1065,-0.106,-0.0324
92,0.3315,0.7994,0.2323,0.1301,0.1883,0.1839,0.1055,-0.0172,-0.0059
93,0.3187,0.8317,0.2402,0.1326,0.194,0.1935,0.1071,-0.0872,-0.0452
94,0.3313,0.8053,0.2307,0.139,0.1905,0.1822,0.1105,-0.003,-0.1486
95,0.3296,0.8029,0.2406,0.1346,0.1949,0.1886,0.1097,-0.0906,-0.0767
96,0.3079,0.825,0.2464,0.1375,0.1995,0.192,0.1115,-0.1444,-0.1234
97,0.3097,0.8129,0.2475,0.1283,0.1971,0.1938,0.1042,-0.1542,0.0217
98,0.3397,0.7995,0.2328,0.1284,0.188,0.183,0.1046,-0.0209,0.0194
99,0.3005,0.8919,0.2571,0.1405,0.2072,0.2052,0.1133,-0.2455,-0.1733
100,0.3539,0.826,0.242,0.1345,0.1958,0.1924,0.1092,-0.1039,-0.0746
101,0.3082,0.9078,0.2721,0.1436,0.2175,0.2132,0.1132,-0.3947,-0.2267
102,0.4336,0.9188,0.2851,0.1356,0.2232,0.2233,0.1073,-0.5313,-0.0935
103,0.4538,0.8216,0.248,0.1279,0.1973,0.1942,0.1042,-0.159,0.0273
104,0.3063,0.9961,0.2827,0.1542,0.2277,0.2243,0.123,-0.5061,-0.4137
105,0.4977,1.031,0.3001,0.1498,0.2372,0.2368,0.1194,-0.6968,-0.3344
106,0.5685,0.9101,0.2672,0.1299,0.2101,0.2108,0.1049,-0.3449,-0.0034
107,0.4262,0.8639,0.2207,0.152,0.1895,0.1796,0.1219,0.0824,-0.373
108,0.4079,0.9044,0.228,0.1634,0.1983,0.1862,0.1318,0.0205,-0.5867
109,0.4681,0.8779,0.2445,0.1418,0.1999,0.1958,0.1128,-0.1266,-0.1946
110,0.418,0.8253,0.2434,0.1276,0.1943,0.1936,0.1041,-0.1163,0.0322
111,0.3247,0.913,0.2519,0.1554,0.2093,0.2004,0.1243,-0.1953,-0.4361
112,0.4021,0.9691,0.269,0.1643,0.2228,0.2153,0.1313,-0.3631,-0.6043
113,0.4521,0.8799,0.2559,0.1482,0.2091,0.2031,0.1191,-0.2339,-0.3057
114,0.3463,0.8768,0.2595,0.1459,0.2105,0.2064,0.1164,-0.269,-0.2653
115,0.3426,0.9005,0.2547,0.1503,0.2091,0.2038,0.1201,-0.2228,-0.3423
116,0.3781,0.8442,0.2358,0.1344,0.1919,0.1887,0.1092,-0.0477,-0.0739
117,0.327,0.8376,0.2349,0.1266,0.1887,0.1855,0.1021,-0.0395,0.047
